Booth No,Exact Name in 2022 PDF (ਪਿੰਡ),Village / Polling Station (Resolved Punjabi),Polling Station Name (English),Guriqbal Singh Mahal (AAP),Jagroop Singh Sekhwan (SAD),Partap Singh Bajwa (INC),Baaki (Others),Total Votes Polled,Leading Candidate,Lead Margin
1,ਜੋਗੇਵਾਲ ਜੱਟਾਂ,ਜੋਗੇਵਾਲ ਜੱਟਾਂ,Jogewal Jattan,188,98,236,15,537,Partap Singh Bajwa (INC),48
2,ਛੋਟੇਪੁਰ,ਛੋਟੇਪੁਰ,Chhotepur,311,114,172,25,622,Guriqbal Singh Mahal (AAP),139
3,ਆਲੋਵਾਲ,ਆਲੋਵਾਲ,Allowal,165,105,176,32,478,Partap Singh Bajwa (INC),11
4,-DO-,ਆਲੋਵਾਲ,Allowal,119,122,178,39,458,Partap Singh Bajwa (INC),56
5,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,Kot Santokh Rai,251,166,188,20,625,Guriqbal Singh Mahal (AAP),63
6,-Do-,ਕੋਟ ਸੰਤੋਖ ਰਾਏ,Kot Santokh Rai,219,245,150,32,646,Jagroop Singh Sekhwan (SAD),26
7,ਖੇਹ ਤਿੱਖਾ + ਚੱਕ ਘਰੋਏ,ਖੇਹ ਤਿੱਖਾ + ਚੱਕ ਘਰੋਏ,Kheh Tikha + Chakk Gharoye,211,235,178,48,672,Jagroop Singh Sekhwan (SAD),24
8,ਚੱਕ ਦੀਪੇਵਾਲ + ਦੇਵੀਦਾਸਪੁਰ,ਚੱਕ ਦੀਪੇਵਾਲ + ਦੇਵੀਦਾਸਪੁਰ,Chakk Deepewal + Devidaspur,147,125,334,14,620,Partap Singh Bajwa (INC),187
9,ਬੱਲ,ਬੱਲ,Bal,195,58,300,36,589,Partap Singh Bajwa (INC),105
10,-DO-,ਬੱਲ,Bal,229,76,329,14,648,Partap Singh Bajwa (INC),100
11,ਸੰਘਰ,ਸੰਘਰ,Sanghar,144,95,467,24,730,Partap Singh Bajwa (INC),323
12,ਅਖਲਾਸਪੁਰ,ਅਖਲਾਸਪੁਰ,Akhlaspur,152,25,226,15,418,Partap Singh Bajwa (INC),74
13,ਸਿੰਘਪੁਰਾ,ਸਿੰਘਪੁਰਾ,Singhpura,283,129,188,31,631,Guriqbal Singh Mahal (AAP),95
14,ਬਦੇਸ਼ਾਂ,ਬਦੇਸ਼ਾਂ,Badesh,203,127,139,22,491,Guriqbal Singh Mahal (AAP),64
15,ਸੰਧਵਾਂ,ਸੰਧਵਾਂ,Sandhwan,238,49,126,27,440,Guriqbal Singh Mahal (AAP),112
16,ਕਲਿਆਨਪੁਰ,ਕਲਿਆਨਪੁਰ,Kalyanpur,127,164,138,169,598,Jagroop Singh Sekhwan (SAD),26
17,-DO-,ਕਲਿਆਨਪੁਰ,Kalyanpur,221,229,168,119,737,Jagroop Singh Sekhwan (SAD),8
18,ਗੁਰਦਾਸ ਨੰਗਲ + ਬੜੀਆਵਾਲਾ,ਗੁਰਦਾਸ ਨੰਗਲ + ਬੜੀਆਵਾਲਾ,Gurdas Nangal + Badiyawala,161,202,269,17,649,Partap Singh Bajwa (INC),67
19,-DO-,ਗੁਰਦਾਸ ਨੰਗਲ + ਬੜੀਆਵਾਲਾ,Gurdas Nangal + Badiyawala,288,281,214,25,808,Guriqbal Singh Mahal (AAP),7
20,-DO-,ਗੁਰਦਾਸ ਨੰਗਲ + ਬੜੀਆਵਾਲਾ,Gurdas Nangal + Badiyawala,326,139,120,27,612,Guriqbal Singh Mahal (AAP),187
21,ਜਾਪੂਵਾਲ,ਜਾਪੂਵਾਲ,Japuwal,106,85,173,17,381,Partap Singh Bajwa (INC),67
22,ਧਾਰੀਵਾਲ,ਧਾਰੀਵਾਲ,Dhariwal,99,106,122,26,353,Partap Singh Bajwa (INC),16
23,ਸੋਹਲ,ਸੋਹਲ,Sohal,399,130,272,55,856,Guriqbal Singh Mahal (AAP),127
24,-DO-,ਸੋਹਲ,Sohal,327,223,183,39,772,Guriqbal Singh Mahal (AAP),104
25,-DO-,ਸੋਹਲ,Sohal,239,212,229,49,729,Guriqbal Singh Mahal (AAP),10
26,-DO-,ਸੋਹਲ,Sohal,241,232,163,41,677,Guriqbal Singh Mahal (AAP),9
27,ਮਹਾਂਦੇਵ ਕਲਾਂ,ਮਹਾਂਦੇਵ ਕਲਾਂ,Mahandev Kalan,146,111,91,20,368,Guriqbal Singh Mahal (AAP),35
28,ਪੀਰ ਦੀ ਸੈਨ,ਪੀਰ ਦੀ ਸੈਨ,Pir Di Sain,194,16,148,4,362,Guriqbal Singh Mahal (AAP),46
29,ਤਰੀਜਾ ਨੰਗਰ + ਰਣੀਆ,ਤਰੀਜਾ ਨੰਗਰ + ਰਣੀਆ,Trija Nagar + Rania,283,178,293,24,778,Partap Singh Bajwa (INC),10
30,ਰਣੀਆਂ,ਰਣੀਆਂ,Rania,224,127,196,23,570,Guriqbal Singh Mahal (AAP),28
31,ਰਣੀਆ,ਰਣੀਆ,Rania,170,200,146,25,541,Jagroop Singh Sekhwan (SAD),30
32,ਰਣੀਆ,ਰਣੀਆ,Rania,321,193,177,34,725,Guriqbal Singh Mahal (AAP),128
33,ਧਾਰੀਵਾਲ,ਧਾਰੀਵਾਲ,Dhariwal,300,177,244,53,774,Guriqbal Singh Mahal (AAP),56
34,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,328,165,210,53,756,Guriqbal Singh Mahal (AAP),118
35,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,253,193,157,37,640,Guriqbal Singh Mahal (AAP),60
36,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,142,100,147,31,420,Partap Singh Bajwa (INC),5
37,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,247,150,162,40,599,Guriqbal Singh Mahal (AAP),85
38,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,228,154,244,28,654,Partap Singh Bajwa (INC),16
39,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,64,61,63,15,203,Guriqbal Singh Mahal (AAP),1
40,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,127,74,120,1,322,Guriqbal Singh Mahal (AAP),7
41,-DO-,ਧਾਰੀਵਾਲ,Dhariwal,139,221,159,20,539,Jagroop Singh Sekhwan (SAD),62
