Booth No,Exact Name in 2022 PDF (ਪਿੰਡ),Village / Polling Station (Resolved Punjabi),Polling Station Name (English),Guriqbal Singh Mahal (AAP),Jagroop Singh Sekhwan (SAD),Partap Singh Bajwa (INC),Baaki (Others),Total Votes Polled,Leading Candidate,Lead Margin
183,ਜਲਾਲਪੁਰ,ਜਲਾਲਪੁਰ,Jalalpur,131,87,310,21,549,Partap Singh Bajwa (INC),179
184,ਬਗੋਲ,ਬਗੋਲ,Bagol,295,172,226,35,728,Guriqbal Singh Mahal (AAP),69
185,ਲਖਣਪੁਰ,ਲਖਣਪੁਰ,Lakhanpur,128,111,177,27,443,Partap Singh Bajwa (INC),49
186,ਤੁਗਲਵਾਲ,ਤੁਗਲਵਾਲ,Tugalwal,252,134,195,67,648,Guriqbal Singh Mahal (AAP),57
187,-DO-,ਤੁਗਲਵਾਲ,Tugalwal,249,243,174,42,708,Guriqbal Singh Mahal (AAP),6
188,-DO-,ਤੁਗਲਵਾਲ,Tugalwal,300,117,162,28,607,Guriqbal Singh Mahal (AAP),138
189,ਸੀਂਹ ਭੱਟੀ,ਸੀਂਹ ਭੱਟੀ,Seeh Bhatti,90,61,160,59,370,Partap Singh Bajwa (INC),70
190,-DO-,ਸੀਂਹ ਭੱਟੀ,Seeh Bhatti,136,204,156,42,538,Jagroop Singh Sekhwan (SAD),48
191,ਬੇਰੀ,ਬੇਰੀ,Beri,176,153,140,45,514,Guriqbal Singh Mahal (AAP),23
192,-DO-,ਬੇਰੀ,Beri,259,138,87,40,524,Guriqbal Singh Mahal (AAP),121
193,ਠੱਕਰਵਾਲ,ਠੱਕਰਵਾਲ,Thakkarwal,102,32,97,46,277,Guriqbal Singh Mahal (AAP),5
194,ਸੂਚ,ਸੂਚ,Sooch,158,73,155,11,397,Guriqbal Singh Mahal (AAP),3
195,"ਦਤਾਰਪੁਰ, ਭੋਚਨਾ","ਦਤਾਰਪੁਰ, ਭੋਚਨਾ","Datarpur, Bhochna",202,138,218,35,593,Partap Singh Bajwa (INC),16
196,ਕੋਟ ਖਾਨ ਮੁਹੰਮਦ,ਕੋਟ ਖਾਨ ਮੁਹੰਮਦ,Kot Khan Mohammad,191,123,308,52,674,Partap Singh Bajwa (INC),117
197,ਫੇਰੋਚੇਚੀ,ਫੇਰੋਚੇਚੀ,Ferochechi,222,129,335,28,714,Partap Singh Bajwa (INC),113
198,ਜੀਂਦੜ,ਜੀਂਦੜ,Jeendarh,126,231,251,49,657,Partap Singh Bajwa (INC),20
199,ਘੋੜੇਵਾਹ,ਘੋੜੇਵਾਹ,Ghorewah,166,117,293,42,618,Partap Singh Bajwa (INC),127
200,ਗੋਰਸੀਆਂ,ਗੋਰਸੀਆਂ,Gorsian,131,97,184,40,452,Partap Singh Bajwa (INC),53
201,ਨਾਨੋਵਾਲ ਖੁਰਦ,ਨਾਨੋਵਾਲ ਖੁਰਦ,Nanowal Khurd,192,198,195,50,635,Jagroop Singh Sekhwan (SAD),3
202,ਮੈਹੜੇ,ਮੈਹੜੇ,Mehrey,112,175,96,37,420,Jagroop Singh Sekhwan (SAD),63
203,ਭੈਣੀ ਮੀਆਂ ਖਾਂ,ਭੈਣੀ ਮੀਆਂ ਖਾਂ,Bhaini Mian Khan,170,286,384,25,865,Partap Singh Bajwa (INC),98
204,-DO-,ਭੈਣੀ ਮੀਆਂ ਖਾਂ,Bhaini Mian Khan,225,263,317,47,852,Partap Singh Bajwa (INC),54
205,ਝੰਡਾ ਲੁਬਾਣਾ,ਝੰਡਾ ਲੁਬਾਣਾ,Jhanda Lubana,128,243,195,47,613,Jagroop Singh Sekhwan (SAD),48
206,-DO-,ਝੰਡਾ ਲੁਬਾਣਾ,Jhanda Lubana,116,144,209,41,510,Partap Singh Bajwa (INC),65
207,ਧਾਂਦੋਈ,ਧਾਂਦੋਈ,Dhandoi,117,129,308,27,581,Partap Singh Bajwa (INC),179
208,ਛਿੱਛੜਾ,ਛਿੱਛੜਾ,Chhichhda,235,42,240,33,550,Partap Singh Bajwa (INC),5
209,ਰਾਜੂ ਬੇਲਾ,ਰਾਜੂ ਬੇਲਾ,Raju Bela,273,49,496,46,864,Partap Singh Bajwa (INC),223
210,ਆਲਮਾ,ਆਲਮਾ,Alma,69,129,380,41,619,Partap Singh Bajwa (INC),251
211,"ਅਵਾਣ, ਸਲਾਰਪੁਰ, ਬਿਸਨਪੁਰ, ਕਿਸਾਨਾ, ਧੋਰੇ ਕਲੀਆਂ, ਕੋਟਲੀ ਗੁਜਰਾਂ","ਅਵਾਣ, ਸਲਾਰਪੁਰ, ਬਿਸਨਪੁਰ, ਕਿਸਾਨਾ, ਧੋਰੇ ਕਲੀਆਂ, ਕੋਟਲੀ ਗੁਜਰਾਂ","Awan, Salarpur, Bishanpur, Kisana, Dhore Kalian, Kotli Gujran",229,106,271,42,648,Partap Singh Bajwa (INC),42
212,ਮੋਚਪੁਰ,ਮੋਚਪੁਰ,Mochpur,222,105,450,38,815,Partap Singh Bajwa (INC),228
213,"ਨਵੀਆਂ ਬਗੜੀਆਂ, ਮਿਠਾ","ਨਵੀਆਂ ਬਗੜੀਆਂ, ਮਿਠਾ","Navian Bagrian, Mitha",257,187,326,45,815,Partap Singh Bajwa (INC),69
214,ਬਾਗੜੀਆਂ,ਬਾਗੜੀਆਂ,Bagrian,181,162,183,68,594,Partap Singh Bajwa (INC),2
215,-DO-,ਬਾਗੜੀਆਂ,Bagrian,119,185,236,46,586,Partap Singh Bajwa (INC),51
216,ਰਾਜਪੁਰਾ,ਰਾਜਪੁਰਾ,Rajpura,102,145,70,15,332,Jagroop Singh Sekhwan (SAD),43
217,ਭੈਣੀ ਖਾਦਰ,ਭੈਣੀ ਖਾਦਰ,Bhaini Khadar,162,85,199,17,463,Partap Singh Bajwa (INC),37
